cook_time,cuisine,ingredients,ingredients_full,name,prep_time,rating,rating_count,servings
30 mins to 1 hour,African,"peppers,sweet potatoes,red onions,cherry tomatoes,harissa,olive oil,black pepper","2 large red or orange peppers, de-seeded and cut into bite-sized chunks,2 sweet potatoes, scrubbed and cut into bite-sized chunks,2 red onions, cut into bite-sized chunks,200g/7oz cherry tomatoes,1 tbsp harissa spice mix,1 tbsp olive oil,sea salt and freshly ground black pepper",Moroccan-style roasted veg,less than 30 mins,3.888888888888889,9,Serves 2
10 to 30 mins,African,"basmati rice,vegetable oil,chicken thighs,onion,garlic,ginger,chilli,paprika,tomato,passata,chicken stock,peppers,fresh coriander,black pepper","300g/10½oz basmati rice,1 tbsp vegetable oil,8 boneless, skinless chicken thighs, cut in half,1 onion, roughly chopped,3 garlic cloves, grated,5cm/2 in piece fresh root ginger, peeled and finely grated,1 red chilli, deseeded and finely chopped,1 tsp smoked paprika,2 tbsp tomato purèe,700ml/1¼ pint tomato passata,300ml/10fl oz chicken stock, from a cube,2 red peppers, deseeded and roughly chopped,2 tbsp roughly chopped fresh coriander,freshly ground black pepper",Jollof rice with chicken ,less than 30 mins,3.4705882352941178,17,Serves 4
30 mins to 1 hour,African,"ground ginger,garlic,chilli,thyme,cinnamon,nutmeg,coriander,salt,black pepper,basmati rice,olive oil,onion,salt,Quorn,cucumber,red onion,rock salt","30g/1oz ground ginger ,30g/1oz garlic granules,45g/1½oz chilli flakes ,20g/¾oz dried thyme ,20g/¾oz ground cinnamon ,15g/½oz ground nutmeg,20g/¾oz ground coriander ,1 tbsp salt ,1 tbsp ground black pepper ,500g/1lb 2oz basmati rice ,5 tbsp olive oil ,1 onion, diced ,2 tsp salt ,300g/10½oz Quorn pieces ,4 tbsp jollof spice mix (see above),1 large cucumber, cut in half lengthways and thinly sliced on an angle ,1 red onion, thinly sliced ,20g/¾oz rock salt   ",Jollof Quorn pilau with salted cucumber ,less than 30 mins,3.2,5,Serves 4
30 mins to 1 hour,Irish,"mashed potato,potatoes,plain flour,milk,butter,rapeseed oil,black pepper,mackerel,olive oil,garlic,butter,dill,lettuce,olive oil,white wine vinegar,Dijon mustard","250g/9oz colcannon or mashed potato,250g/9oz potatoes (such as Rooster), peeled and grated,100g/3½oz plain flour,125ml/4fl oz milk,knob of butter,rapeseed oil, for frying,sea salt and freshly ground black pepper,4 small mackerel, gutted and butterflied or filleted,2–3 tbsp olive oil ,3 garlic cloves, finely chopped,knob of butter,dill, chopped, to garnish,1 lemon, juice only, to serve,½ head frissee lettuce, inner leaves removed,3 tbsp olive oil,1 tbsp white wine vinegar,1 tsp Dijon mustard",Boxty with mackerel,less than 30 mins,5,1,Serves 4
30 mins to 1 hour,Indian,"vegetable oil,onion,sea salt,garlic,cumin,coriander,garam masala,cardamom,vegetable stock,vegetables,basmati rice,flaked almonds,fresh coriander,lemon","1 tbsp vegetable oil,1 large onion, thinly sliced,1 tsp sea salt,2 large garlic cloves, finely chopped,1 tsp ground cumin,1 tbsp ground coriander,1 tbsp garam masala,3 green cardamom pods, lightly crushed,1 vegetable stock cube,300g/10½oz mixed frozen chopped vegetables,300g/10½oz basmati rice,50g/1¾oz flaked almonds,large handful fresh coriander, chopped,½ lemon, juice only",Mixed vegetable and almond biryani,less than 30 mins,2.2232142857142856,112,Serves 4
1 to 2 hours,Indian,"curry leaves,onions,rapeseed oil,yoghurt,tomato purée,ginger,garlic,cumin,coriander,chilli powder,turmeric,beef rump,butternut,coconut milk,garam masala,chillies,black pepper,rapeseed oil,cinnamon,cardamom,cloves,cumin,onion,long-grain rice","12–15 fresh or dried curry leaves,500g/1lb 2oz onions, roughly chopped,2 tbsp rapeseed oil ,200g/7oz thick natural yoghurt ,3 tbsp tomato purée ,2 x 5cm/2in fresh root ginger, peeled and finely chopped                                                       ,4–6 garlic cloves, finely chopped,1 heaped tsp ground cumin ,2 heaped tsp ground coriander ,1 heaped tbsp chilli powder ,1 tsp ground turmeric ,500g/1lb 2oz beef rump steak, cut into 2.5cm/1in cubes, rinsed,4–5 butternut berries or pitted plums,400ml/16fl oz tin coconut milk ,1 tsp garam masala (optional),2–3 green finger chillies, split into four lengthways,      ,salt and freshly ground black pepper,1 tsp rapeseed oil or ghee        ,3cm/1in cinnamon stick                             ,2–3 cardamom pods, lightly crushed                                            ,2–3 cloves                                                        ,1 tsp cumin seeds,1 small onion, thinly sliced,500g/1lb 2oz basmati or long-grain rice,1 litre/1¾ pints boiling water",Beef curry Marie Kiteria ,30 mins to 1 hour,4,1,Serves 6
over 2 hours,Caribbean,"mutton,lemon,coriander,black pepper,garlic,onion,red wine,olive oil,cloves,cinnamon,cardamom,cumin,thyme,chilli,chilli,chilli powder,curry powder,garam masala,beef stock,chocolate,pomegranate","3.4kg/7lb  5oz mutton on the bone, chopped,2 sprigs lemon thyme, chopped ,small handful coriander, chopped ,2 pinches freshly ground black pepper ,3 garlic cloves, crushed,1 onion, finely chopped,2 small chillies - 1 scotch bonnet, 1 green bird's-eye (or to taste), both chopped,400ml/14fl oz red wine,olive oil, for frying,3 cloves,1 piece cinnamon bark,4-5 cardamom pods, crushed ,1 tsp ground cumin ,1 tsp chopped thyme ,½ red chilli, or to taste ,½ green chilli, or to taste,1-2 bay leaves ,1 tsp chilli powder ,3-4 tsp mild curry powder ,2 tbsp garam masala ,1 litre/1¾ pints lamb or beef stock ,40g/1½oz good-quality dark cooking chocolate (70% cocoa solids),1½ tbsp pomegranate molasses (optional)",Curry mutton,overnight,4.5,2,Serves 4-6
30 mins to 1 hour,Irish,"wholemeal flour,strong white flour,bicarbonate of soda,salt,buttermilk,egg,honey,potato,smoked haddock,bay leaf,shallot,milk,butter,onion,garlic,sweetcorn,runner beans,scallops,clams,pollock,prawns,parsley,black pepper","200g/7oz wholemeal flour,275g/9¾oz strong white flour, plus extra for sprinkling,1 heaped tsp bicarbonate of soda,pinch salt,200ml/7fl oz buttermilk,1 large free-range egg,1 tsp honey,1 large potato,250g/9oz un-dyed smoked haddock fillets, skin on,1 bay leaf,1 shallot, halved,650ml/22fl oz full-fat milk,30g/1oz unsalted butter,1 onion, chopped,1 clove garlic, sliced,150g/5½oz sweetcorn kernels (thawed, if frozen),handful runner beans, sliced,6 scallops, sliced,12 steamed clams,200g/7oz pollock fillet, diced,150g/5½oz raw king prawns  ,1 tbsp chopped fresh flat-leaf parsley,freshly ground black pepper",Irish fish chowder with soda bread,less than 30 mins,4.75,4,Serves 4
over 2 hours,Irish,"carrots,onion,celery,leek,garlic,bay leaf,thyme,black pepper,carrots,onions,floury potato,spring onions,parsley","about 1kg/2¼ lb scrag end or neck of lamb on the bone,2 carrots,1 large onion,2  celery sticks,1 leek,2-3 garlic cloves, crushed,1 large bay leaf,1 large sprig fresh thyme,sea salt and freshly ground black pepper,150g/5oz small carrots,150g/5oz baby or pickling onions,1 large floury potato, about 300g/10oz weight, peeled and diced finely,2 spring onions, thinly sliced,a little fresh chopped parsley",Traditional Irish stew,30 mins to 1 hour,4,1,Serves 4
over 2 hours,Caribbean,"onions,garlic,chives,white wine vinegar,cloves,goat,sunflower oil,curry powder,lamb stock,rosemary,oregano,parsley,fresh coriander,black pepper,rice,coconut milk,sunflower oil,chicken stock,kidney beans","3 large onions, 1 finely chopped, 2 thinly sliced,5 garlic cloves, peeled and bashed,1 small bunch fresh chives, snipped,50ml/2fl oz white wine vinegar ,¼ tsp ground cloves ,1kg/2lb 4oz goat thigh, cut into large chunks,3 tbsp sunflower oil ,3 tbsp mild curry powder,1 lamb stock cube ,2 fresh rosemary sprigs ,2 fresh oregano sprigs ,handful fresh parsley ,1 small bunch fresh coriander, roughly chopped,salt and freshly ground black pepper,300g/10½oz easy cook long grain rice, rinsed ,20ml/¾fl oz coconut milk  ,30ml/1fl oz sunflower oil ,2 chicken stock cubes,400g tin kidney beans, drained and rinsed ,pinch salt",Caribbean goat curry ,less than 30 mins,4,2,Serves 6
